"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","n_data_points","pval","sig"
"1","Acadian redfish","Gulf of Maine / Georges Bank",1980,9897,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",14,37,0.0226988600990893,TRUE
"2","Acadian redfish","Gulf of Maine / Georges Bank",1981,7920,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",14,37,0.0226988600990893,TRUE
"3","Acadian redfish","Gulf of Maine / Georges Bank",1982,6907,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",16,37,0.0226988600990893,TRUE
"4","Acadian redfish","Gulf of Maine / Georges Bank",1983,5330,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",14,37,0.0226988600990893,TRUE
"5","Acadian redfish","Gulf of Maine / Georges Bank",1984,4793,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",20,37,0.0226988600990893,TRUE
"6","Acadian redfish","Gulf of Maine / Georges Bank",1985,4282,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",17,37,0.0226988600990893,TRUE
"7","Acadian redfish","Gulf of Maine / Georges Bank",1986,3053,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",19,37,0.0226988600990893,TRUE
"8","Acadian redfish","Gulf of Maine / Georges Bank",1987,1895,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",15,37,0.0226988600990893,TRUE
"9","Acadian redfish","Gulf of Maine / Georges Bank",1988,1157,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",20,37,0.0226988600990893,TRUE
"10","Acadian redfish","Gulf of Maine / Georges Bank",1989,672,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",21,37,0.0226988600990893,TRUE
"11","Acadian redfish","Gulf of Maine / Georges Bank",1990,640,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",26,37,0.0226988600990893,TRUE
"12","Acadian redfish","Gulf of Maine / Georges Bank",1991,2029,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",16,37,0.0226988600990893,TRUE
"13","Acadian redfish","Gulf of Maine / Georges Bank",1992,967,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",11,37,0.0226988600990893,TRUE
"14","Acadian redfish","Gulf of Maine / Georges Bank",1993,898,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",13,37,0.0226988600990893,TRUE
"15","Acadian redfish","Gulf of Maine / Georges Bank",1994,536,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",21,37,0.0226988600990893,TRUE
"16","Acadian redfish","Gulf of Maine / Georges Bank",1995,643,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",18,37,0.0226988600990893,TRUE
"17","Acadian redfish","Gulf of Maine / Georges Bank",1996,754,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",20,37,0.0226988600990893,TRUE
"18","Acadian redfish","Gulf of Maine / Georges Bank",1997,488,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",23,37,0.0226988600990893,TRUE
"19","Acadian redfish","Gulf of Maine / Georges Bank",1998,512,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",22,37,0.0226988600990893,TRUE
"20","Acadian redfish","Gulf of Maine / Georges Bank",1999,381,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",20,37,0.0226988600990893,TRUE
"21","Acadian redfish","Gulf of Maine / Georges Bank",2000,480,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",27,37,0.0226988600990893,TRUE
"22","Acadian redfish","Gulf of Maine / Georges Bank",2001,718,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",36,37,0.0226988600990893,TRUE
"23","Acadian redfish","Gulf of Maine / Georges Bank",2002,499,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",32,37,0.0226988600990893,TRUE
"24","Acadian redfish","Gulf of Maine / Georges Bank",2003,568,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",42,37,0.0226988600990893,TRUE
"25","Acadian redfish","Gulf of Maine / Georges Bank",2004,520,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",36,37,0.0226988600990893,TRUE
"26","Acadian redfish","Gulf of Maine / Georges Bank",2005,662,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",41,37,0.0226988600990893,TRUE
"27","Acadian redfish","Gulf of Maine / Georges Bank",2006,657,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",39,37,0.0226988600990893,TRUE
"28","Acadian redfish","Gulf of Maine / Georges Bank",2007,1161,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",35,37,0.0226988600990893,TRUE
"29","Acadian redfish","Gulf of Maine / Georges Bank",2008,1373,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",38,37,0.0226988600990893,TRUE
"30","Acadian redfish","Gulf of Maine / Georges Bank",2009,1663,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",31,37,0.0226988600990893,TRUE
"31","Acadian redfish","Gulf of Maine / Georges Bank",2010,1850,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",33,37,0.0226988600990893,TRUE
"32","Acadian redfish","Gulf of Maine / Georges Bank",2011,2227,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",32,37,0.0226988600990893,TRUE
"33","Acadian redfish","Gulf of Maine / Georges Bank",2012,4189,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",31,37,0.0226988600990893,TRUE
"34","Acadian redfish","Gulf of Maine / Georges Bank",2013,3966,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",24,37,0.0226988600990893,TRUE
"35","Acadian redfish","Gulf of Maine / Georges Bank",2014,5083,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",25,37,0.0226988600990893,TRUE
"36","Acadian redfish","Gulf of Maine / Georges Bank",2015,5040,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",33,37,0.0226988600990893,TRUE
"37","Acadian redfish","Gulf of Maine / Georges Bank",2016,3925,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Warm Core Rings
n",26,37,0.0226988600990893,TRUE
"38","Acadian redfish","Gulf of Maine / Georges Bank",1980,0.230489999055862,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",14,37,0.000236937559813563,TRUE
"39","Acadian redfish","Gulf of Maine / Georges Bank",1981,0.218349993228912,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",14,37,0.000236937559813563,TRUE
"40","Acadian redfish","Gulf of Maine / Georges Bank",1982,0.231720000505447,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",16,37,0.000236937559813563,TRUE
"41","Acadian redfish","Gulf of Maine / Georges Bank",1983,0.215130001306534,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",14,37,0.000236937559813563,TRUE
"42","Acadian redfish","Gulf of Maine / Georges Bank",1984,0.222350001335144,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",20,37,0.000236937559813563,TRUE
"43","Acadian redfish","Gulf of Maine / Georges Bank",1985,0.231769993901253,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",17,37,0.000236937559813563,TRUE
"44","Acadian redfish","Gulf of Maine / Georges Bank",1986,0.187769994139671,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",19,37,0.000236937559813563,TRUE
"45","Acadian redfish","Gulf of Maine / Georges Bank",1987,0.116899996995926,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",15,37,0.000236937559813563,TRUE
"46","Acadian redfish","Gulf of Maine / Georges Bank",1988,0.0699400007724762,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",20,37,0.000236937559813563,TRUE
"47","Acadian redfish","Gulf of Maine / Georges Bank",1989,0.0389299988746643,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",21,37,0.000236937559813563,TRUE
"48","Acadian redfish","Gulf of Maine / Georges Bank",1990,0.033950001001358,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",26,37,0.000236937559813563,TRUE
"49","Acadian redfish","Gulf of Maine / Georges Bank",1991,0.567820012569427,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",16,37,0.000236937559813563,TRUE
"50","Acadian redfish","Gulf of Maine / Georges Bank",1992,0.065140001475811,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",11,37,0.000236937559813563,TRUE
"51","Acadian redfish","Gulf of Maine / Georges Bank",1993,0.0537699982523918,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",13,37,0.000236937559813563,TRUE
"52","Acadian redfish","Gulf of Maine / Georges Bank",1994,0.0306000001728535,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",21,37,0.000236937559813563,TRUE
"53","Acadian redfish","Gulf of Maine / Georges Bank",1995,0.028379999101162,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",18,37,0.000236937559813563,TRUE
"54","Acadian redfish","Gulf of Maine / Georges Bank",1996,0.0278600007295609,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",20,37,0.000236937559813563,TRUE
"55","Acadian redfish","Gulf of Maine / Georges Bank",1997,0.0135899996384978,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",23,37,0.000236937559813563,TRUE
"56","Acadian redfish","Gulf of Maine / Georges Bank",1998,0.0111999996006489,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",22,37,0.000236937559813563,TRUE
"57","Acadian redfish","Gulf of Maine / Georges Bank",1999,0.00632000016048551,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",20,37,0.000236937559813563,TRUE
"58","Acadian redfish","Gulf of Maine / Georges Bank",2000,0.00637000007554889,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",27,37,0.000236937559813563,TRUE
"59","Acadian redfish","Gulf of Maine / Georges Bank",2001,0.00784000009298325,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",36,37,0.000236937559813563,TRUE
"60","Acadian redfish","Gulf of Maine / Georges Bank",2002,0.0046700001694262,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",32,37,0.000236937559813563,TRUE
"61","Acadian redfish","Gulf of Maine / Georges Bank",2003,0.00467999977990985,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",42,37,0.000236937559813563,TRUE
"62","Acadian redfish","Gulf of Maine / Georges Bank",2004,0.00380999990738928,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",36,37,0.000236937559813563,TRUE
"63","Acadian redfish","Gulf of Maine / Georges Bank",2005,0.00431000022217631,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",41,37,0.000236937559813563,TRUE
"64","Acadian redfish","Gulf of Maine / Georges Bank",2006,0.00384999997913837,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",39,37,0.000236937559813563,TRUE
"65","Acadian redfish","Gulf of Maine / Georges Bank",2007,0.00615999987348914,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",35,37,0.000236937559813563,TRUE
"66","Acadian redfish","Gulf of Maine / Georges Bank",2008,0.00656000012531877,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",38,37,0.000236937559813563,TRUE
"67","Acadian redfish","Gulf of Maine / Georges Bank",2009,0.00732999993488193,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",31,37,0.000236937559813563,TRUE
"68","Acadian redfish","Gulf of Maine / Georges Bank",2010,0.00747000006958842,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",33,37,0.000236937559813563,TRUE
"69","Acadian redfish","Gulf of Maine / Georges Bank",2011,0.0083600003272295,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",32,37,0.000236937559813563,TRUE
"70","Acadian redfish","Gulf of Maine / Georges Bank",2012,0.0145100001245737,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",31,37,0.000236937559813563,TRUE
"71","Acadian redfish","Gulf of Maine / Georges Bank",2013,0.0122100003063679,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",24,37,0.000236937559813563,TRUE
"72","Acadian redfish","Gulf of Maine / Georges Bank",2014,0.0140699995681643,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",25,37,0.000236937559813563,TRUE
"73","Acadian redfish","Gulf of Maine / Georges Bank",2015,0.0128499995917082,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",33,37,0.000236937559813563,TRUE
"74","Acadian redfish","Gulf of Maine / Georges Bank",2016,0.0109999999403954,"Fmort","Max F Rate at Age (Retro Adjusted 2016)","Apical F",2017,2017,"Fmort
Max F Rate at Age (Retro Adjusted 2016)
Apical F","Warm Core Rings
n",26,37,0.000236937559813563,TRUE
"75","Acadian redfish","Gulf of Maine / Georges Bank",1980,1065,"Recruitment","Abundance - Age 1 (Mean)","Thousand Recruits",2017,2017,"Recruitment
Abundance - Age 1 (Mean)
Thousand Recruits","Warm Core Rings
n",14,37,0.00469583597083252,TRUE
