"","Species","Region","Time","Value","Metric","T_mean","T_min","T_peak","cumulative_intensity_degrees_C","GLORYS_bottom_temp_anomaly_degreesC","long_term_sst_degreesC","spring_OI_SST_Anomaly_degreesC","winter_OI_SST_Anomaly_degreesC","spring_OI_SST_Anomaly_Black_sea_bass_north_spring_degreesC","spring_OI_SST_Anomaly_Black_sea_bass_spring_degreesC","winter_OI_SST_Anomaly_Black_sea_bass_north_spring_degreesC","winter_OI_SST_Anomaly_Black_sea_bass_south_spring_degreesC","winter_OI_SST_Anomaly_Black_sea_bass_spring_degreesC"
"1","Black sea bass","Mid",1993,19965,"Recruitment",7.55704952837354,4.17349366126799,7.20437119288511,35.2508,-0.818007931,11.66042,-0.491906045929669,-0.824448874174903,-0.165075780869213,-0.532251983844301,-0.705796085175685,-1.30886968381477,-0.989851417721339
"2","Black sea bass","Mid",1994,28660,"Recruitment",7.20861119157167,4.1513369424116,7.14130978485123,24.1374,-0.062321409,11.88385,0.322229446263924,-1.15654323029647,0.171730229801046,0.319345576803331,-1.04481661420513,-1.34850604742063,-1.20381273840929
"3","Black sea bass","Mid",1995,36892,"Recruitment",8.09786826833125,5.89109990987163,7.8942707581358,69.2538,0.570108581,12.06583,-0.155702511306407,0.37064099135663,-0.4729424734692,-0.24143894207292,0.675382624501768,0.130263280314628,0.41553603115756
"4","Black sea bass","Mid",1996,26613,"Recruitment",7.74588032071451,4.42951269659975,7.19930594759821,14.2512,-1.453431234,10.96677,-0.725536238943622,-1.46693685233918,-0.403225979807777,-0.717435709033545,-1.02785129047186,-1.86399410789266,-1.40926465111621
"5","Black sea bass","Mid",1999,37237,"Recruitment",8.21574517035225,5.8470719143957,8.46719245469711,95.5077,1.237862138,12.84594,-0.00452243724564383,0.0708933720602341,0.685833181938484,0.0123682620207806,0.210331913958425,-0.366900010654822,-0.06292879525998
"6","Black sea bass","Mid",2000,46765,"Recruitment",8.33622670615634,5.5510153874924,8.41654160160912,82.2405,0.549581083,12.56635,0.416048879317126,1.03147659059403,0.557643555578498,0.462358209451331,0.865751156545516,1.15021661798596,0.952439988336881
"7","Black sea bass","Mid",2001,27538,"Recruitment",7.70385794771993,5.24094835544498,7.64507368337314,51.1932,0.276622289,12.32448,0.088277829579086,-0.696080929205745,0.465704188042716,0.0475066636093029,-0.802102847606088,-0.814741754162593,-0.839520903712183
"8","Black sea bass","Mid",2002,31597,"Recruitment",8.66174074878159,7.03307457322961,8.69826022873623,206.1264,1.298862795,12.72396,0.619441320814952,1.66877719667329,0.45603265844346,0.53656632136733,1.45548647558631,1.7663945493955,1.55322095558234
"9","Black sea bass","Mid",2003,19697,"Recruitment",7.61798853213137,5.12027748322826,7.50659507868178,9.1207,-0.68143186,11.47135,-1.50336828193469,-0.500552178291149,-1.10833304340168,-1.51598335702087,-0.363303340402778,-0.472506068724174,-0.441058182815726
"10","Black sea bass","Mid",2004,15713,"Recruitment",7.07347257698344,4.06602574208483,6.82310876605741,25.8242,-1.410899092,11.76854,-0.0222341955501264,-1.03851176723108,-0.316863670219451,-0.148970187583931,-1.09598315533302,-1.23295848860726,-1.18533921247311
"11","Black sea bass","Mid",2005,16564,"Recruitment",7.59083093321592,4.38253382512735,7.13850776548785,104.6342,-0.669594338,12.17875,-0.903569300567149,-0.768819619676417,-0.592990246447888,-1.01640206387247,-0.655608888121619,-1.15966935257318,-0.898304303854761
"12","Black sea bass","Mid",2006,30816,"Recruitment",7.91033922531886,5.40637870908989,7.98930607368447,107.9342,1.091761755,12.7249,0.335249492675949,0.512304862047327,0.485208492215262,0.202099788883114,0.530331904070389,0.0691302828997475,0.305539549454591
"13","Black sea bass","Mid",2007,35359,"Recruitment",7.85955654335046,5.20868741935699,6.84038628418574,49.1767,-0.441779606,12.27521,-0.401238424500283,0.916537126912498,-0.557909027361379,-0.754775974213539,1.0672123303016,0.648468652124757,0.860155572126251
"14","Black sea bass","Mid",2009,34059,"Recruitment",7.8106190777018,5.48542466070471,7.61420570577398,52.5926,0.642233392,12.33271,0.0766946338979597,-0.472138446289157,0.122053927032217,-0.173272998264942,-0.203546098652093,-0.935330977857314,-0.541366902826639
"15","Black sea bass","Mid",2010,34419,"Recruitment",7.80707056515337,4.81739577788748,7.98572697076977,140.4622,-0.321625563,12.97542,1.3635591485277,-0.973825200573686,1.3059263297148,1.036434858046,-0.413123387789381,-1.66110873831643,-0.966572236946463
"16","Black sea bass","Mid",2011,39651,"Recruitment",7.8523371829065,5.15514464763947,7.76217662876754,197.4766,0.401191284,12.76406,1.27157560473536,-0.727925148230022,0.763382152285351,0.900460460401289,-0.375538848160546,-1.2028225514945,-0.75325156621165
"17","Black sea bass","Mid",2012,144684,"Recruitment",9.06690029025787,7.47946944687117,9.30083099925233,506.0616,1.971029624,13.85292,2.18707062110219,2.2887375902837,2.1244188877322,1.88904032422013,2.36510611263064,1.64928087218301,2.0339519930004
"18","Black sea bass","Mid",2013,47802,"Recruitment",8.12372943322828,5.64626425661751,8.27469718872113,61.012,0.86008091,12.92344,0.135782932545583,0.708870462316865,0.574906290175525,-0.000548696813721605,1.22662174543321,0.141030950746954,0.741008596817219
"19","Black sea bass","Mid",2014,26240,"Recruitment",7.66886122367092,5.10093474182039,7.90579585921302,161.7588,1.167381922,12.86229,0.781424859097159,-0.271143474528745,0.937161412383743,0.505520278048143,0.232089159511713,-0.354142439196808,-0.0449309072401611
"20","Black sea bass","Mid",2015,34338,"Recruitment",7.53673356044585,4.07308933636474,7.85703186569489,425.9048,1.536763377,13.12031,1.00049051658016,-0.74219204229336,0.799645890901377,0.828255707007502,0.106129014263028,-1.08845555459409,-0.42501317925978
"21","Black sea bass","Mid",2016,79373,"Recruitment",8.3043925686123,6.17162862842687,8.46080066533232,247.4661,1.656052996,13.83198,0.471221413787974,1.44920754077332,0.597697906756267,0.165278756063488,1.79159561321317,0.789703803346667,1.34094533167379
"22","Black sea bass","Mid",2017,47293,"Recruitment",8.01161365111695,5.85523419265089,7.91356348354216,157.7156,0.72947613,13.30688,0.475118057432805,1.05920657971453,0.0548597108902005,0.0365802448597936,1.26438140650302,0.70906292770848,1.00027441515825
"23","Black sea bass","Mid",2018,10058,"Recruitment",7.86784171489089,5.26648439911006,7.49406458629853,152.0294,-0.028370174,12.86521,0.382075372221255,-0.586620293839168,0.186155695694232,0.0221846409271631,0.0979768435304287,-1.14492861222338,-0.453350024265679
