"","Year","Proportion","Stock","Month","Btemp"
"1",1989,78.4264612438083,"South",2,6.40476190476191
"2",1989,78.4264612438083,"South",3,7.43231707317073
"3",1990,97.0021576160769,"South",2,6.73130952380952
"4",1990,97.0021576160769,"South",3,8.51871794871795
"5",1991,95.842539005633,"South",2,6.11758620689655
"6",1991,95.842539005633,"South",3,8.25782456140351
"7",1992,87.2074489927999,"South",2,8.50862831858407
"8",1992,87.2074489927999,"South",3,7.94564971751412
"9",1993,83.1544444074287,"South",2,7.40870481927711
"10",1993,83.1544444074287,"South",3,6.31709677419355
"11",1994,89.7348455486723,"South",2,5.89751445086705
"12",1994,89.7348455486723,"South",3,6.45758139534884
"13",1995,89.7105340847104,"South",2,8.12412587412587
"14",1995,89.7105340847104,"South",3,7.70218905472637
"15",1996,83.7337508881788,"South",2,8.30360341151386
"16",1996,83.7337508881788,"South",3,6.885
"17",1997,92.341363883025,"South",2,7.58465753424657
"18",1997,92.341363883025,"South",3,8.63856687898089
"19",1998,85.2111354224884,"South",2,8.55782383419689
"20",1998,85.2111354224884,"South",3,7.42029032258065
"21",1999,66.844783976201,"South",2,8.92448160535117
"22",1999,66.844783976201,"South",3,8.24444839857651
"23",2000,47.2910965841619,"South",2,8.34797520661157
"24",2000,47.2910965841619,"South",3,8.73167883211679
"25",2001,47.771026270916,"South",2,9.38505827505828
"26",2001,47.771026270916,"South",3,8.15333333333333
"27",2002,63.0487408802827,"South",2,9.9600495049505
"28",2002,63.0487408802827,"South",3,9.18491228070175
"29",2003,45.1486744494159,"South",2,8.25765410958904
"30",2003,45.1486744494159,"South",3,6.35506849315068
"31",2004,25.6012165351832,"South",2,7.59424812030075
"32",2004,25.6012165351832,"South",3,6.58357923497268
"33",2005,11.2528795955258,"South",2,8.22134770889488
"34",2005,11.2528795955258,"South",3,7.01177570093458
"35",2006,34.3082355460152,"South",2,9.57067532467532
"36",2006,34.3082355460152,"South",3,8.35536277602524
"37",2007,65.0030287246725,"South",2,8.31893442622951
"38",2007,65.0030287246725,"South",3,7.0884142394822
"39",2008,38.1751549220792,"South",2,7.34514285714286
"40",2008,38.1751549220792,"South",3,8.5102962962963
"41",2009,75.1109667298942,"South",2,4.42560747663551
"42",2009,75.1109667298942,"South",3,7.26181556195965
"43",2010,48.4043302144629,"South",2,2.94175438596491
"44",2010,48.4043302144629,"South",3,8.26403543307087
"45",2011,60.257797893309,"South",2,3.73531468531469
"46",2011,60.257797893309,"South",3,8.83077777777778
"47",2012,69.554746660848,"South",2,8.79191082802548
"48",2012,69.554746660848,"South",3,9.90839237057221
"49",2013,29.3457321160209,"South",2,5.7807619047619
"50",2013,29.3457321160209,"South",3,10.2496131528046
"51",2014,35.7881446999278,"South",2,3.54114285714286
"52",2014,35.7881446999278,"South",3,5.77045454545455
"53",2015,54.6975287315023,"South",2,2.7192380952381
"54",2015,54.6975287315023,"South",3,7.20679180887372
"55",2016,39.7130222243713,"South",2,5.29180952380952
"56",2016,39.7130222243713,"South",3,7.58515151515151
"57",2017,44.666304722891,"South",2,6.40593192592593
"58",2017,44.666304722891,"South",3,8.91187250996016
"59",2018,32.2016498973113,"South",3,7.81242236024845
"60",2019,55.3181486376872,"South",2,5.91295238095238
"61",2019,55.3181486376872,"South",3,8.74871621621622
"62",2020,38.8871851067319,"South",2,7.69123809523809
"63",2020,38.8871851067319,"South",3,11.177115902965
"64",2021,70.973010622249,"South",2,4.30640350877193
"65",2021,70.973010622249,"South",3,8.30881578947368
"66",1989,21.5735387561917,"North",2,6.40476190476191
"67",1989,21.5735387561917,"North",3,7.43231707317073
"68",1990,2.9978423839231,"North",2,6.73130952380952
"69",1990,2.9978423839231,"North",3,8.51871794871795
"70",1991,4.15746099436699,"North",2,6.11758620689655
"71",1991,4.15746099436699,"North",3,8.25782456140351
"72",1992,12.7925510072001,"North",2,8.50862831858407
"73",1992,12.7925510072001,"North",3,7.94564971751412
"74",1993,16.8455555925713,"North",2,7.40870481927711
"75",1993,16.8455555925713,"North",3,6.31709677419355
"76",1994,10.2651544513277,"North",2,5.89751445086705
"77",1994,10.2651544513277,"North",3,6.45758139534884
"78",1995,10.2894659152896,"North",2,8.12412587412587
"79",1995,10.2894659152896,"North",3,7.70218905472637
"80",1996,16.2662491118212,"North",2,8.30360341151386
"81",1996,16.2662491118212,"North",3,6.885
"82",1997,7.65863611697501,"North",2,7.58465753424657
"83",1997,7.65863611697501,"North",3,8.63856687898089
"84",1998,14.7888645775116,"North",2,8.55782383419689
"85",1998,14.7888645775116,"North",3,7.42029032258065
"86",1999,33.155216023799,"North",2,8.92448160535117
"87",1999,33.155216023799,"North",3,8.24444839857651
"88",2000,52.7089034158381,"North",2,8.34797520661157
"89",2000,52.7089034158381,"North",3,8.73167883211679
"90",2001,52.228973729084,"North",2,9.38505827505828
"91",2001,52.228973729084,"North",3,8.15333333333333
"92",2002,36.9512591197173,"North",2,9.9600495049505
"93",2002,36.9512591197173,"North",3,9.18491228070175
"94",2003,54.8513255505841,"North",2,8.25765410958904
"95",2003,54.8513255505841,"North",3,6.35506849315068
"96",2004,74.3987834648168,"North",2,7.59424812030075
"97",2004,74.3987834648168,"North",3,6.58357923497268
"98",2005,88.7471204044742,"North",2,8.22134770889488
"99",2005,88.7471204044742,"North",3,7.01177570093458
"100",2006,65.6917644539848,"North",2,9.57067532467532
"101",2006,65.6917644539848,"North",3,8.35536277602524
"102",2007,34.9969712753275,"North",2,8.31893442622951
"103",2007,34.9969712753275,"North",3,7.0884142394822
"104",2008,61.8248450779209,"North",2,7.34514285714286
"105",2008,61.8248450779209,"North",3,8.5102962962963
"106",2009,24.8890332701058,"North",2,4.42560747663551
"107",2009,24.8890332701058,"North",3,7.26181556195965
"108",2010,51.5956697855371,"North",2,2.94175438596491
"109",2010,51.5956697855371,"North",3,8.26403543307087
"110",2011,39.7422021066911,"North",2,3.73531468531469
"111",2011,39.7422021066911,"North",3,8.83077777777778
"112",2012,30.445253339152,"North",2,8.79191082802548
"113",2012,30.445253339152,"North",3,9.90839237057221
"114",2013,70.6542678839791,"North",2,5.7807619047619
"115",2013,70.6542678839791,"North",3,10.2496131528046
"116",2014,64.2118553000722,"North",2,3.54114285714286
"117",2014,64.2118553000722,"North",3,5.77045454545455
"118",2015,45.3024712684977,"North",2,2.7192380952381
"119",2015,45.3024712684977,"North",3,7.20679180887372
"120",2016,60.2869777756287,"North",2,5.29180952380952
"121",2016,60.2869777756287,"North",3,7.58515151515151
"122",2017,55.333695277109,"North",2,6.40593192592593
"123",2017,55.333695277109,"North",3,8.91187250996016
"124",2018,67.7983501026887,"North",3,7.81242236024845
"125",2019,44.6818513623128,"North",2,5.91295238095238
"126",2019,44.6818513623128,"North",3,8.74871621621622
"127",2020,61.1128148932681,"North",2,7.69123809523809
"128",2020,61.1128148932681,"North",3,11.177115902965
"129",2021,29.0269893777509,"North",2,4.30640350877193
"130",2021,29.0269893777509,"North",3,8.30881578947368
