Sci_name,SVSPP,Com_name
HIRUNDICHTHYS AFFINIS,469,FOURWING FLYINGFISH
PROGNICHTHYS GIBBIFRONS,470,BLUNTNOSE FLYINGFISH
STRONGYLURA MARINA,471,ATLANTIC NEEDLEFISH
CYPRINODON VARIEGATUS,472,SHEEPSHEAD MINNOW
FUNDULUS HETEROCLITUS,473,MUMMICHOG
FUNDULUS MAJALIS,474,STRIPED KILLIFISH
MEMBRAS MARTINICA,475,ROUGH SILVERSIDE
MENIDIA BERYLLINA,476,TIDEWATER SILVERSIDE
CORNIGER SPINOSUS,477,SPINYCHEEK SOLDIERFISH
HOLOCENTRUS ADSCENSIONIS,478,SQUIRRELFISH
SARGOCENTRON BULLISI ,479,DEEPWATER SQUIRRELFISH
HOLOCENTRUS RUFUS,480,LONGSPINE SQUIRRELFISH
SARGOCENTRON VEXILLARIUM ,481,DUSKY SQUIRRELFISH
MYRIPRISTIS JACOBUS,482,BLACKBAR SOLDIERFISH
OSTICHTHYS TRACHYPOMA,483,BIGEYE SOLDIERFISH
PLECTRYPOPS RETROSPINIS,484,CARDINAL SOLDIERFISH
HOLOCENTRIDAE,485,SQUIRRELFISH UNCL
ANTIGONIA COMBATIA,486,SHORTSPINE BOARFISH
EUMECICHTHYS FISKI,487,UNICORNFISH
APELTES QUADRACUS,488,FOURSPINE STICKLEBACK
FISTULARIA PETIMBA,489,RED CORNETFISH
FISTULARIA ,490,CORNETFISH UNCL
COSMOCAMPUS ALBIROSTRIS,491,WHITENOSE PIPEFISH
HIPPOCAMPUS ERECTUS,492,LINED SEAHORSE
HIPPOCAMPUS REIDI,493,LONGSNOUT SEAHORSE
SYNGNATHUS FLORIDAE,494,DUSKY PIPEFISH
SYNGNATHUS LOUISIANAE,495,CHAIN PIPEFISH
SYNGNATHUS SPRINGERI,496,BULL PIPEFISH
CENTROPOMUS UNDECIMALIS,497,COMMON SNOOK
EPINEPHELUS AFER,498,MUTTON HAMLET
ANTHIAS ASPERILINGUIS,499,CRIMSON BASS
ANTHIAS NICHOLSI,500,YELLOWFIN BASS
CEPHALOPODA,501,SQUID CUTTLEFISH AND OCTOPOD UNCL
ILLEX ILLECEBROSUS,502,NORTHERN SHORTFIN SQUID
LOLIGO PEALEII,503,LONGFIN SQUID
LOLLIGUNCULA BREVIS,504,ATLANTIC BRIEF SQUID
LOLIGO PLEI,505,ARROW SQUID
SEPIOLIDAE,506,BOBTAIL UNCL
SEMIROSSIA TENERA,507,LESSER SHINING BOBTAIL
STOLOTEUTHIS LEUCOPTERA,508,SHIELD BOBTAIL
ABRALIA VERANYI,509,RUPPELL'S ABRALIA
OCTOPODA,510,OCTOPUS UNCL
OCTOPUS VULGARIS,511,COMMON OCTOPUS
BATHYPOLYPUS ARCTICUS,512,SPOONARM OCTOPUS
SCAEURGUS UNICIRRHUS,513,UNICORN OCTOPUS
ROSSIA MEGAPTERA,514,VERRILL'S BOBTAIL
ROSSIA PALPEBROSA,515,OWEN'S BOBTAIL
PORTUNUS SPINIMANUS,516,BLOTCHED SWIMMING CRAB
BATHYNECTES LONGISPINA,517,BATHYAL SWIMMING CRAB
ARENAEUS CRIBRARIUS,518,SPECKLED SWIMMING CRAB
ILLEX ILLECEBROSUS EGG MOPS,519,NORTHERN SHORTFIN SQUID EGG MOPS
LOLIGO PEALEII EGG MOPS,520,LONGFIN SQUID EGG MOPS
SCHULTZEA BETA,523,SCHOOL BASS
MYCTEROPERCA INTERSTITIALIS,524,YELLOWMOUTH GROUPER
CENTROPRISTIS OCYURUS,526,BANK SEA BASS
CENTROPRISTIS PHILADELPHICA,527,ROCK SEA BASS
EPINEPHELUS INERMIS,528,MARBLED GROUPER
DIPLECTRUM BIVITTATUM,529,DWARF SAND PERCH
DIPLECTRUM FORMOSUM,530,SAND PERCH
EPINEPHELUS ADSCENSIONIS,531,ROCK HIND
EPINEPHELUS DRUMMONDHAYI,532,SPECKLED HIND
EPINEPHELUS FLAVOLIMBATUS,533,YELLOWEDGE GROUPER
EPINEPHELUS GUTTATUS,534,RED HIND
EPINEPHELUS MORIO,535,RED GROUPER
EPINEPHELUS NIGRITUS,536,WARSAW GROUPER
EPINEPHELUS NIVEATUS,537,SNOWY GROUPER
EPINEPHELUS STRIATUS,538,NASSAU GROUPER
HEMANTHIAS VIVANUS,539,RED BARBIER
MYCTEROPERCA BONACI,540,BLACK GROUPER
MYCTEROPERCA MICROLEPIS,541,GAG
MYCTEROPERCA PHENAX,542,SCAMP
MYCTEROPERCA VENENOSA,543,YELLOWFIN GROUPER
HOLANTHIAS MARTINICENSIS,544,ROUGHTONGUE BASS
PARANTHIAS FURCIFER,545,CREOLE-FISH
HEMANTHIAS AUREORUBENS,546,STREAMER BASS
SERRANICULUS PUMILIO,547,PYGMY SEA BASS
SERRANUS ANNULARIS,548,ORANGEBACK BASS
SERRANUS ATROBRANCHUS,549,BLACKEAR BASS
SERRANUS BALDWINI,550,LANTERN BASS
SERRANUS NOTOSPILUS,551,SADDLE BASS
SERRANUS PHOEBE,552,TATTLER
SERRANUS SUBLIGARIUS,553,BELTED SANDFISH
SERRANIDAE,554,SEA BASS UNCL
RYPTICUS BISTRISPINUS,555,FRECKLED SOAPFISH
PRIACANTHUS CRUENTATUS,556,GLASSEYE SNAPPER
PRISTIGENYS ALTA,557,SHORT BIGEYE
APOGON MACULATUS,558,FLAMEFISH
APOGON PSEUDOMACULATUS,559,TWOSPOT CARDINALFISH
CAULOLATILUS CYANOPS,562,BLACKLINE TILEFISH
RACHYCENTRON CANADUM,563,COBIA
ECHENEIS NAUCRATES,564,SHARKSUCKER
REMORA BRACHYPTERA,565,SPEARFISH REMORA
REMORA OSTEOCHIR,566,MARLINSUCKER
REMORA REMORA,567,REMORA
ALECTIS CILIARIS,568,AFRICAN POMPANO
CARANX BARTHOLOMAEI,569,YELLOW JACK
CARANX HIPPOS,570,CREVALLE JACK
CARANX LATUS,571,HORSE-EYE JACK
CARANX RUBER,572,BAR JACK
CHLOROSCOMBRUS CHRYSURUS,573,ATLANTIC BUMPER
ELAGATIS BIPINNULATA,574,RAINBOW RUNNER
HEMICARANX AMBLYRHYNCHUS,575,BLUNTNOSE JACK
NAUCRATES DUCTOR,576,PILOTFISH
OLIGOPLITES SAURUS,577,LEATHERJACK
SERIOLA RIVOLIANA,578,ALMACO JACK
TRACHINOTUS CAROLINUS,579,FLORIDA POMPANO
TRACHINOTUS FALCATUS,580,PERMIT
TRACHINOTUS GOODEI,581,PALOMETA
CARANGIDAE,582,JACK POMPANO UNCL
CORYPHAENA EQUISELIS ,583,POMPANO DOLPHIN
CORYPHAENA HIPPURUS,584,DOLPHIN
BRAMA BRAMA,585,ATLANTIC POMFRET
LUTJANUS ANALIS,586,MUTTON SNAPPER
LUTJANUS APODUS,587,SCHOOLMASTER
LUTJANUS BUCCANELLA,588,BLACKFIN SNAPPER
LUTJANUS CAMPECHANUS,589,RED SNAPPER
LUTJANUS GRISEUS,590,GRAY SNAPPER
LUTJANUS JOCU,591,DOG SNAPPER
LUTJANUS SYNAGRIS,592,LANE SNAPPER
LUTJANUS VIVANUS,593,SILK SNAPPER
OCYURUS CHRYSURUS,594,YELLOWTAIL SNAPPER
PRISTIPOMOIDES AQUILONARIS,595,WENCHMAN
RHOMBOPLITES AURORUBENS,596,VERMILION SNAPPER
LUTJANIDAE,597,SNAPPER UNCL
LOBOTES SURINAMENSIS,598,TRIPLETAIL
EUCINOSTOMUS GULA,599,SILVER JENNY
SQUALIDAE,600,NA
ETMOPTERUS GRACILISPINIS,601,BROADBAND DOGFISH
ETMOPTERUS HILLIANUS,602,CARIBBEAN LANTERNSHARK
CENTROSCYMNUS COELOLEPIS,603,PORTUGUESE SHARK
ACANTHOCARPUS ALEXANDRI,604,GLADIATOR BOX CRAB
COOKEOLUS JAPONICUS,616,BULLEYE
XENOLEPIDICHTHYS DALGLEISHI,617,SPOTTED TINSELFISH
GRAMMATIDAE,618,BASSLET UNCL
POMACENTRIDAE,619,DAMSELFISH UNCL
SPHYRAENA ,620,BARRACUDAS
CAULOLATILUS MICROPS,621,BLUELINE TILEFISH
CAULOLATILUS CHRYSOPS,622,GOLDFACE TILEFISH
CAULOLATILUS INTERMEDIUS,623,ANCHOR TILEFISH
MALACANTHUS PLUMIERI,624,SAND TILEFISH
GERREIDAE,625,MOJARRA UNCL
ANISOTREMUS VIRGINICUS,626,PORKFISH
HAEMULON AUROLINEATUM,627,TOMTATE
HAEMULON CARBONARIUM,628,CAESAR GRUNT
HAEMULON PLUMIERI,629,WHITE GRUNT
HAEMULIDAE,630,GRUNT UNCL
ARCHOSARGUS PROBATOCEPHALUS,631,SHEEPSHEAD
CALAMUS BAJONADO,632,JOLTHEAD PORGY
CALAMUS CALAMUS,633,SAUCEREYE PORGY
CALAMUS LEUCOSTEUS,634,WHITEBONE PORGY
CALAMUS NODOSUS,635,KNOBBED PORGY
CALAMUS PENNA,636,SHEEPSHEAD PORGY
CALAMUS PRORIDENS,637,LITTLEHEAD PORGY
DIPLODUS ARGENTEUS,638,SILVER PORGY
DIPLODUS HOLBROOKII ,639,SPOTTAIL PINFISH
LAGODON RHOMBOIDES,640,PINFISH
PAGRUS SEDECIM,641,RED PORGY
SPARIDAE,643,PORGY AND PINFISH UNCL
CYNOSCION ARENARIUS,644,SAND SEATROUT
CYNOSCION NEBULOSUS,645,SPOTTED SEATROUT
CYNOSCION NOTHUS,646,SILVER SEATROUT
EQUETUS ACUMINATUS,647,HIGH-HAT
EQUETUS LANCEOLATUS,648,JACKKNIFE-FISH
EQUETUS PUNCTATUS,649,SPOTTED DRUM
EQUETUS UMBROSUS,650,CUBBYU
LARIMUS FASCIATUS,651,BANDED DRUM
MENTICIRRHUS AMERICANUS,652,SOUTHERN KINGFISH
MENTICIRRHUS LITTORALIS,653,GULF KINGFISH
SCIAENOPS OCELLATUS,654,RED DRUM
STELLIFER LANCEOLATUS,655,STAR DRUM
PSEUDUPENEUS MACULATUS,656,SPOTTED GOATFISH
UPENEUS PARVUS,657,DWARF GOATFISH
KYPHOSUS SECTATRIX,658,BERMUDA CHUB
CHAETODIPTERUS FABER,659,ATLANTIC SPADEFISH
CHAETODON AYA,660,BANK BUTTERFLYFISH
CHAETODON CAPISTRATUS,661,FOUREYE BUTTERFLYFISH
CHAETODON OCELLATUS,662,SPOTFIN BUTTERFLYFISH
CHAETODON SEDENTARIUS,663,REEF BUTTERFLYFISH
CHAETODON STRIATUS,664,BANDED BUTTERFLYFISH
HOLACANTHUS BERMUDENSIS,665,BLUE ANGELFISH
HOLACANTHUS CILIARIS,666,QUEEN ANGELFISH
HOLACANTHUS TRICOLOR,667,ROCK BEAUTY
POMACANTHUS ARCUATUS,668,GRAY ANGELFISH
ABUDEFDUF SAXATILIS,669,SERGEANT MAJOR
CHROMIS ENCHRYSURUS,670,YELLOWTAIL REEFFISH
CHROMIS INSOLATA,671,SUNSHINEFISH
POMACENTRUS LEUCOSTICTUS,672,BEAUGREGORY
BODIANUS PULCHELLUS,673,SPOTFIN HOGFISH
CLEPTICUS PARRAE,674,CREOLE WRASSE
DECODON PUELLARIS,675,RED HOGFISH
HALICHOERES BATHYPHILUS,676,GREENBAND WRASSE
HALICHOERES BIVITTATUS,677,SLIPPERY DICK
HALICHOERES CAUDALIS,678,PAINTED WRASSE
HALICHOERES POEYI,679,BLACKEAR WRASSE
HALICHOERES RADIATUS,680,PUDDINGWIFE
HEMIPTERONOTUS NOVACULA,681,PEARLY RAZORFISH
LACHNOLAIMUS MAXIMUS,682,HOGFISH
LABRIDAE,683,WRASSE UNCL
CRYPTOTOMUS ROSEUS,684,BLUELIP PARROTFISH
NICHOLSINA USTA,685,EMERALD PARROTFISH
SCARUS COERULEUS,686,BLUE PARROTFISH
SPARISOMA RADIANS,687,BUCKTOOTH PARROTFISH
SCARIDAE,688,PARROTFISH UNCL
MUGIL CEPHALUS,689,STRIPED MULLET
MUGIL CUREMA,690,WHITE MULLET
MUGIL LIZA,691,LIZA
MUGIL GYRANS,692,FANTAIL MULLET
SPHYRAENA BARRACUDA,693,GREAT BARRACUDA
SPHYRAENA BOREALIS,694,NORTHERN SENNET
SPHYRAENA GUACHANCHO,695,GUAGUANCHE
OPISTOGNATHUS LONCHURUS,696,MOUSTACHE JAWFISH
OPISTOGNATHUS MAXILLOSUS,697,MOTTLED JAWFISH
BEMBROPS GOBIOIDES,698,GOBY FLATHEAD
ASTROSCOPUS Y-GRAECUM,699,SOUTHERN STARGAZER
XIPHIAS GLADIUS,700,SWORDFISH
AUXIS ROCHEI,701,BULLET MACKEREL
AUXIS THAZARD,702,FRIGATE MACKEREL
THUNNUS ALALUNGA,703,ALBACORE
THUNNUS ALBACARES,704,YELLOWFIN TUNA
THUNNUS ATLANTICUS,705,BLACKFIN TUNA
THUNNUS OBESUS,706,BIGEYE TUNA
MAKAIRA NIGRICANS,707,BLUE MARLIN
TETRAPTURUS ALBIDUS,708,WHITE MARLIN
XENOCEPHALUS EGREGIUS ,725,FRECKLED STARGAZER
KATHETOSTOMA ALBIGUTTA,726,LANCER STARGAZER
CLINIDAE,727,CLINID UNCL
PARABLENNIUS MARMOREUS,728,SEAWEED BLENNY
CHASMODES BOSQUIANUS,729,STRIPED BLENNY
HYPLEUROCHILUS GEMINATUS,730,CRESTED BLENNY
HYPSOBLENNIUS HENTZ,731,FEATHER BLENNY
HYPSOBLENNIUS IONTHAS,732,FRECKLED BLENNY
BLENNIIDAE,733,COMBTOOTH BLENNY UNCL
AMMODYTES AMERICANUS,734,AMERICAN SAND LANCE
FOETOREPUS AGASSIZI,735,SPOTFIN DRAGONET
DORMITATOR MACULATUS,736,FAT SLEEPER
BATHYGOBIUS SOPORATOR,737,FRILLFIN GOBY
GOBIOSOMA BOSC,738,NAKED GOBY
GOBIIDAE,739,GOBY UNCL
ACANTHURUS BAHIANUS,740,OCEAN SURGEON
ACANTHURUS CHIRURGUS,741,DOCTORFISH
ACANTHURUS COERULEUS,742,BLUE TANG
EUTHYNNUS ALLETTERATUS,743,LITTLE TUNNY
SCOMBEROMORUS CAVALLA,744,KING MACKEREL
SCOMBEROMORUS MACULATUS,745,SPANISH MACKEREL
SCOMBEROMORUS REGALIS,746,CERO
THUNNUS THYNNUS,747,BLUEFIN TUNA
ARIOMMA REGULUS,748,SPOTTED DRIFTFISH
PEPRILUS ALEPIDOTUS,749,HARVESTFISH
STROMATEIDAE,750,BUTTERFISH UNCL
NEOMERINTHE HEMINGWAYI,751,SPINYCHEEK SCORPIONFISH
PONTINUS RATHBUNI,752,HIGHFIN SCORPIONFISH
SCORPAENA AGASSIZI,753,LONGFIN SCORPIONFISH
SCORPAENA BRASILIENSIS,754,BARBFISH
SCORPAENA CALCARATA,755,SMOOTHHEAD SCORPIONFISH
SCORPAENA DISPAR,756,HUNCHBACK SCORPIONFISH
SCORPAENA GRANDICORNIS,757,PLUMED SCORPIONFISH
SCORPAENA PLUMIERI,758,SPOTTED SCORPIONFISH
SCORPAENIDAE,759,SCORPIONFISH AND ROCKFISH UNCL
BELLATOR BRACHYCHIR,760,SHORTFIN SEAROBIN
BELLATOR EGRETTA,761,STREAMER SEAROBIN
BELLATOR MILITARIS,762,HORNED SEAROBIN
PERISTEDION GRACILE,763,SLENDER SEAROBIN
PRIONOTUS ALATUS,764,SPINY SEAROBIN
PRIONOTUS OPHRYAS,765,BANDTAIL SEAROBIN
PRIONOTUS ROSEUS,766,BLUESPOTTED SEAROBIN
PRIONOTUS LONGISPINOSUS,767,BIGEYE SEAROBIN
PRIONOTUS RUBIO,768,BLACKWING SEAROBIN
PRIONOTUS SCITULUS,769,LEOPARD SEAROBIN
PRIONOTUS TRIBULUS,770,BIGHEAD SEAROBIN
MYOXOCEPHALUS QUADRICORNIS,772,FOURHORN SCULPIN
PLEURONECTIDAE,773,RIGHTEYE FLOUNDER UNCL
ANCYLOPSETTA DILECTA,774,THREE-EYE FLOUNDER
ANCYLOPSETTA QUADROCELLATA,775,OCELLATED FLOUNDER
BOTHUS LUNATUS,776,PEACOCK FLOUNDER
BOTHUS OCELLATUS,777,EYED FLOUNDER
CHASCANOPSETTA LUGUBRIS,778,PELICAN FLOUNDER
CITHARICHTHYS ARENACEUS,779,SAND WHIFF
CITHARICHTHYS CORNUTUS,780,HORNED WHIFF
CITHARICHTHYS MACROPS,781,SPOTTED WHIFF
CITHARICHTHYS SPILOPTERUS,782,BAY WHIFF
CYCLOPSETTA FIMBRIATA,783,SPOTFIN FLOUNDER
ENGYOPHRYS SENTA,784,SPINY FLOUNDER
ETROPUS CROSSOTUS,785,FRINGED FLOUNDER
ETROPUS RIMOSUS,786,GRAY FLOUNDER
GASTROPSETTA FRONTALIS,787,SHRIMP FLOUNDER
PARALICHTHYS ALBIGUTTA,788,GULF FLOUNDER
PARALICHTHYS LETHOSTIGMA,789,SOUTHERN FLOUNDER
PARALICHTHYS SQUAMILENTUS,790,BROAD FLOUNDER
SYACIUM GUNTERI,791,SHOAL FLOUNDER
SYACIUM MICRURUM,792,CHANNEL FLOUNDER
SYACIUM PAPILLOSUM,793,DUSKY FLOUNDER
ETROPUS ,794,ETROPUS UNCL
BOTHIDAE,795,LEFTEYE FLOUNDER UNCL
GYMNACHIRUS MELAS,796,NAKED SOLE
SYMPHURUS CIVITATUS,797,OFFSHORE TONGUEFISH
SYMPHURUS DIOMEDIANUS,798,SPOTTEDFIN TONGUEFISH
SYMPHURUS MINOR,799,LARGESCALE TONGUEFISH
BALISTIDAE,820,TRIGGERFISH FILEFISH UNCL
SYMPHURUS MARGINATUS,821,SLENDER TONGUEFISH
TRICHIURIDAE,822,SNAKE MACKEREL UNCL
RUVETTUS PRETIOSUS,823,OILFISH
LEPIDOCYBIUM FLAVOBRUNNEUM,824,ESCOLAR
SYMPHURUS PLAGIUSA,825,BLACKCHEEK TONGUEFISH
SYMPHURUS PUSILLUS,826,NORTHERN TONGUEFISH
SYMPHURUS UROSPILUS,827,SPOTTAIL TONGUEFISH
PARAHOLLARDIA LINEATA,829,JAMBEAU
ALUTERUS HEUDELOTI,830,DOTTEREL FILEFISH
ALUTERUS MONOCEROS,831,UNICORN FILEFISH
ALUTERUS SCHOEPFI,832,ORANGE FILEFISH
ALUTERUS SCRIPTUS,833,SCRAWLED FILEFISH
BALISTES VETULA,834,QUEEN TRIGGERFISH
CANTHIDERMIS SUFFLAMEN,835,OCEAN TRIGGERFISH
MONACANTHUS CILIATUS,836,FRINGED FILEFISH
LACTOPHRYS BICAUDALIS,837,SPOTTED TRUNKFISH
LACTOPHRYS POLYGONIA,838,HONEYCOMB COWFISH
LACTOPHRYS QUADRICORNIS,839,SCRAWLED COWFISH
LACTOPHRYS TRIGONUS,840,TRUNKFISH
LACTOPHRYS TRIQUETER,841,SMOOTH TRUNKFISH
CANTHIGASTER ROSTRATA,842,SHARPNOSE PUFFER
SPHOEROIDES DORSALIS,843,MARBLED PUFFER
SPHOEROIDES NEPHELUS,844,SOUTHERN PUFFER
SPHOEROIDES SPENGLERI,845,BANDTAIL PUFFER
SPHOEROIDES TESTUDINEUS,846,CHECKERED PUFFER
CHILOMYCTERUS ANTILLARUM,847,WEB BURRFISH
CHILOMYCTERUS ATINGA,848,SPOTTED BURRFISH
DIODON HOLOCANTHUS,849,BALLOONFISH
DIODON HYSTRIX,850,PORCUPINEFISH
ENGRAULIDAE,851,ANCHOVY UNCL
SYNODONTIDAE,852,LIZARDFISH UNCL
PARALICHTHYS ,853,SUMMER FLOUNDERS
POMACENTRUS VARIABILIS,854,COCOA DAMSELFISH
CHAETODONTIDAE,855,BUTTERFLYFISH UNCL
ARGENTINA STRIATA,856,STRIATED ARGENTINE
URANOSCOPIDAE,857,STARGAZER UNCL
SCIAENIDAE,858,DRUM UNCL
ANCHOA LYOLEPIS,859,DUSKY ANCHOVY
SCOMBRIDAE,860,MACKEREL AND TUNA UNCL
TETRAODONTIDAE,861,PUFFER UNCL
CHAUNAX STIGMAEUS,862,REDEYE GAPER
EPINEPHELUS MYSTACINUS,863,MISTY GROUPER
PROGNATHODES ACULEATUS,864,LONGSNOUT BUTTERFLYFISH
ENGRAULIS EURYSTOLE,865,SILVER ANCHOVY
CITHARICHTHYS ,866,SANDDABS
LAEMONEMA BARBATULUM,867,NA
OPHIDION SELENOPS,869,MOONEYE CUSK-EEL
GYMNOTHORAX SAXICOLA,870,HONEYCOMB MORAY
PRIONOTUS STEARNSI,871,SHORTWING SEAROBIN
EUCINOSTOMUS ARGENTEUS,872,SPOTFIN MOJARRA
BOTHUS ROBINSI,873,TWOSPOT FLOUNDER
GEMPYLUS SERPENS,874,SNAKE MACKEREL
HARENGULA JAGUANA,875,SCALED SARDINE
CUBICEPS PAUCIRADIATUS,876,BIGEYE CIGARFISH
SERIOLA FASCIATA,877,LESSER AMBERJACK
HAEMULON STRIATUM,878,STRIPED GRUNT
ECHIOPHIS PUNCTIFER,879,SNAPPER EEL
SPHOEROIDES PACHYGASTER,880,BLUNTHEAD PUFFER
GOBIESOX STRUMOSUS,881,SKILLETFISH
CITHARICHTHYS GYMNORHINUS,882,ANGLEFIN WHIFF
OGCOCEPHALUS RADIATUS,883,POLKA-DOT BATFISH
TRACHYSCORPIA CRISTULATA,885,ATLANTIC THORNYHEAD
GONOSTOMATIDAE,887,LIGHTFISH UNCL
APOGON AUROLINEATUS,888,BRIDLE CARDINALFISH
ANCHOA CUBANA,889,CUBAN ANCHOVY
ARIOMMA MELANUM,891,BROWN DRIFTFISH
GLOSSANODON PYGMAEUS,892,PYGMY ARGENTINE
SALMO SALAR,894,ATLANTIC SALMON
RYPTICUS SUBBIFRENATUS,895,SPOTTED SOAPFISH
PARALEPIDIDAE ,896,BARRACUDINAS
LOPHIUS GASTROPHYSUS,897,BLACKFIN GOOSEFISH
URASPIS SECUNDA,898,COTTONMOUTH JACK
CYTTOPSIS ROSEA,899,RED DORY
LOPHIIFORMES,900,LOPHIIFORM UNCL
GASTEROSTEUS WHEATLANDI,901,BLACKSPOTTED STICKLEBACK
PUNGITIUS PUNGITIUS,902,NINESPINE STICKLEBACK
PLEOTICUS ROBUSTUS,910,ROYAL RED SHRIMP
PLESIOPENAEUS EDWARDSIANUS,911,SCARLET GAMBA SHRIMP
CALOCARIS TEMPLEMANI,912,NA
PENAEUS AZTECUS,913,BROWN SHRIMP
PENAEUS DUORARUM,914,PINK SHRIMP
PENAEUS SETIFERUS,915,WHITE SHRIMP
BREVIRAJA PLUTONIA,924,LONGTAIL SKATE
ALOPIAS VULPINUS,925,THRESHER SHARK
ALOPIAS SUPERCILIOSUS,926,BIGEYE THRESHER SHARK
ISURUS PAUCUS,927,LONGFIN MAKO
CARCHARHINUS ISODON,928,FINETOOTH SHARK
CARCHARHINUS ALTIMUS,929,BIGNOSE SHARK
CARCHARHINUS LONGIMANUS,930,OCEANIC WHITETIP SHARK
CARCHARHINUS BREVIPINNA,931,SPINNER SHARK
CARCHARHINUS POROSUS,932,SMALLTAIL SHARK
CARCHARHINUS PEREZII,933,REEF SHARK
CARCHARHINUS SIGNATUS,934,NIGHT SHARK
MUSTELUS NORRISI,935,FLORIDA SMOOTHHOUND
TRIAKIS SEMIFASCIATA,936,LEOPARD SHARK
SPHYRNA MEDIA,937,SCOOPHEAD SHARK
SARDA ORIENTALIS,938,STRIPED BONITO
ISTIOPHORUS PLATYPTERUS,939,SAILFISH
MAKAIRA INDICA,940,BLACK MARLIN
TETRAPTURUS ANGUSTIROSTRIS,941,SHORTBILL SPEARFISH
TETRAPTURUS AUDAX,942,STRIPED MARLIN
TETRAPTURUS PFLUEGERI,943,LONGBILL SPEARFISH
CARETTA CARETTA,950,LOGGERHEAD SEATURTLE
CHELONIA MYDAS,951,GREEN SEATURTLE
DERMOCHELYS CORIACEA,952,LEATHERBACK SEATURTLE
ERETMOCHELYS IMBRICATA,953,HAWKSBILL SEATURTLE
LEPIDOCHELYS KEMPI,954,KEMP'S RIDLEY SEATURTLE
TRASH SPECIES IN CATCH,998,TRASH
